,date,weekday,holiday
279,8/6/45,quinta-feira,Corpus Christi
280,7/9/45,quinta-feira,Independência do Brasil
281,12/10/45,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
282,2/11/45,quinta-feira,Finados
283,15/11/45,quarta-feira,Proclamação da República
284,20/11/45,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
285,25/12/45,segunda-feira,Natal
286,1/1/46,segunda-feira,Confraternização Universal
287,5/2/46,segunda-feira,Carnaval
288,6/2/46,terça-feira,Carnaval
289,23/3/46,sexta-feira,Paixão de Cristo
290,21/4/46,sábado,Tiradentes
291,1/5/46,terça-feira,Dia do Trabalho
292,24/5/46,quinta-feira,Corpus Christi
293,7/9/46,sexta-feira,Independência do Brasil
294,12/10/46,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
295,2/11/46,sexta-feira,Finados
296,15/11/46,quinta-feira,Proclamação da República
297,20/11/46,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
298,25/12/46,terça-feira,Natal
299,1/1/47,terça-feira,Confraternização Universal
300,25/2/47,segunda-feira,Carnaval
301,26/2/47,terça-feira,Carnaval
302,12/4/47,sexta-feira,Paixão de Cristo
303,21/4/47,domingo,Tiradentes
304,1/5/47,quarta-feira,Dia do Trabalho
305,13/6/47,quinta-feira,Corpus Christi
306,7/9/47,sábado,Independência do Brasil
307,12/10/47,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
308,2/11/47,sábado,Finados
309,15/11/47,sexta-feira,Proclamação da República
310,20/11/47,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
311,25/12/47,quarta-feira,Natal
312,1/1/48,quarta-feira,Confraternização Universal
313,17/2/48,segunda-feira,Carnaval
314,18/2/48,terça-feira,Carnaval
315,3/4/48,sexta-feira,Paixão de Cristo
316,21/4/48,terça-feira,Tiradentes
317,1/5/48,sexta-feira,Dia do Trabalho
318,4/6/48,quinta-feira,Corpus Christi
319,7/9/48,segunda-feira,Independência do Brasil
320,12/10/48,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
321,2/11/48,segunda-feira,Finados
322,15/11/48,domingo,Proclamação da República
323,20/11/48,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
324,25/12/48,sexta-feira,Natal
325,1/1/49,sexta-feira,Confraternização Universal
326,1/3/49,segunda-feira,Carnaval
327,2/3/49,terça-feira,Carnaval
328,16/4/49,sexta-feira,Paixão de Cristo
329,21/4/49,quarta-feira,Tiradentes
330,1/5/49,sábado,Dia do Trabalho
331,17/6/49,quinta-feira,Corpus Christi
332,7/9/49,terça-feira,Independência do Brasil
333,12/10/49,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
334,2/11/49,terça-feira,Finados
335,15/11/49,segunda-feira,Proclamação da República
336,20/11/49,sábado,Dia Nacional de Zumbi e da Consciência Negra
337,25/12/49,sábado,Natal
338,1/1/50,sábado,Confraternização Universal
339,21/2/50,segunda-feira,Carnaval
340,22/2/50,terça-feira,Carnaval
341,8/4/50,sexta-feira,Paixão de Cristo
342,21/4/50,quinta-feira,Tiradentes
343,1/5/50,domingo,Dia do Trabalho
344,9/6/50,quinta-feira,Corpus Christi
345,7/9/50,quarta-feira,Independência do Brasil
346,12/10/50,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
347,2/11/50,quarta-feira,Finados
348,15/11/50,terça-feira,Proclamação da República
349,20/11/50,domingo,Dia Nacional de Zumbi e da Consciência Negra
350,25/12/50,domingo,Natal
351,1/1/51,domingo,Confraternização Universal
352,13/2/51,segunda-feira,Carnaval
353,14/2/51,terça-feira,Carnaval
354,31/3/51,sexta-feira,Paixão de Cristo
355,21/4/51,sexta-feira,Tiradentes
356,1/5/51,segunda-feira,Dia do Trabalho
357,1/6/51,quinta-feira,Corpus Christi
